2019,Institution_Name,Country,Classification,,,,,Academic_Reputation,Academic_Reputation_Rank,Employer_Reputation,Employer_Reputation_Rank,Faculty_Student,Faculty_Student_Rank,Citations_per_Faculty,Citations_per_Faculty_Rank,International_Faculty,International_Faculty_Rank,International_Students,International_Students_Rank,Overall_Score,Continent
40,KAIST - KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY,South Korea,M,CO,VH,3,A,83.2,58,78.3,81,79.5,152,98.5,16,26.4,473,9.8,601+,78.7,Asia
41,"UNIVERSITY OF CALIFORNIA, SAN DIEGO (UCSD)",United States,XL,FC,VH,4,A,91.7,35,56.1,139,62.1,238,84.5,52,64.9,264,70.7,189,78.6,North America
42,THE UNIVERSITY OF SYDNEY,Australia,XL,FC,VH,5,A,97.2,25,97,24,24.9,570,72.7,88,100,42,99.8,29,78.3,Oceania
43,NEW YORK UNIVERSITY (NYU),United States,XL,FC,VH,5,B,95.6,31,91.3,46,97.3,50,23.7,498,28.4,463,90.9,101,77.7,North America
44,FUDAN UNIVERSITY,China,XL,FC,VH,5,A,81.8,61,95.9,31,84.7,119,58.6,173,89.3,170,39.2,353,77.6,Asia
45,THE UNIVERSITY OF NEW SOUTH WALES (UNSW),Australia,XL,FC,VH,4,A,90.4,37,96.7,26,23.8,592,81.6,58,100,37,97.4,60,77,Oceania
46,CARNEGIE MELLON UNIVERSITY,United States,L,FC,VH,5,B,78.5,65,79,79,45.7,336,95.4,24,78.3,215,100,20,76.6,North America
47,UNIVERSITY OF BRITISH COLUMBIA,Canada,XL,FC,VH,5,A,96.7,29,88.1,51,37.6,408,60.7,150,92.2,150,77.7,157,75.8,North America
48,THE UNIVERSITY OF QUEENSLAND (UQ),Australia,XL,FC,VH,5,A,87.3,48,79.9,76,29.9,501,83.4,55,100,35,97.6,57,75.7,Oceania
49,THE CHINESE UNIVERSITY OF HONG KONG (CUHK),Hong Kong,L,FC,VH,4,A,86.1,52,62.7,117,75.9,171,49.5,239,100,52,91.2,100,75.6,Asia
50,PSL UNIVERSITY,France,L,CO,VH,1,A,80.3,62,99.3,15,99.9,24,26.6,464,67.7,254,84.2,129,75.1,Europe
51,UNIVERSITY OF BRISTOL,United Kingdom,L,FC,VH,5,A,75.6,72,89.4,50,75.9,170,63.8,130,84.4,193,66.4,212,74.9,Europe
52,DELFT UNIVERSITY OF TECHNOLOGY,Netherlands,L,CO,VH,5,A,69.3,83,83.9,61,48.5,313,90.2,34,98.6,85,86.7,121,73.3,Europe
53,UNIVERSITY OF WISCONSIN-MADISON,United States,XL,FC,VH,5,A,88.5,44,51.2,164,87.4,104,52.6,208,58.8,298,30.6,424,73.2,North America
54,THE UNIVERSITY OF WARWICK,United Kingdom,L,FC,VH,4,A,73.8,74,96.1,29,62.4,236,56.1,189,98.4,91,99.3,37,72.9,Europe
55,CITY UNIVERSITY OF HONG KONG,Hong Kong,M,CO,VH,3,A,55.6,129,39.2,235,90.9,83,88.7,39,100,20,97.3,62,72.1,Asia
56,BROWN UNIVERSITY,United States,M,FC,VH,5,B,62.5,104,52.7,156,81.2,143,89.8,35,88.1,176,58.3,252,72,North America
57,UNIVERSITY OF AMSTERDAM,Netherlands,L,FC,VH,5,A,79.2,64,51.8,161,58.5,266,81.6,60,80.1,208,40.3,345,71.1,Europe
58,TOKYO INSTITUTE OF TECHNOLOGY,Japan,M,CO,VH,5,A,74.6,73,80,75,90.4,86,59.8,161,31,445,27.1,454,71,Asia
59,SHANGHAI JIAO TONG UNIVERSITY,China,XL,FC,VH,5,A,77.8,69,96.1,28,39.4,392,85,50,77.4,217,15.6,582,70.4,Asia
59,MONASH UNIVERSITY,Australia,XL,FC,VH,4,A,86.7,51,93.1,40,15.3,601+,65.9,122,100,45,99,39,70.4,Oceania
61,TECHNISCHE UNIVERSITÄT MÜNCHEN,Germany,XL,CO,VH,5,A,78.1,68,98.3,21,88.8,90,23.9,493,59.5,294,63.9,222,70,Europe
62,LUDWIG-MAXIMILIANS-UNIVERSITÄT MÜNCHEN,Germany,XL,FC,VH,5,A,90,39,84.4,59,51.8,294,47.1,263,60.2,292,38.8,357,69.4,Europe
63,UNIVERSITY OF TEXAS AT AUSTIN,United States,XL,FC,VH,5,A,93.8,34,78.1,84,14.7,601+,94.1,27,7.3,601+,20.4,518,68.7,North America
